"","Sample.ID","Corrected.Sample.IDs..avoid.duplications.","Source.Plate","Source.Well.Position","Stock.Concentration.in.ng.uL","Village","Arrondissement","Cercle","region","zone.agro.ecologique","LATITUDE","LONGITUDE"
"111","Fini Kamba","FINI_KAMBA_1","Plate 2","B03",90.23,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"112","Fini","FINI_10","Plate 2","B04",135,"Diabougou","Diéli","San","ségou","sahélienne",13.06753,-5.11095
"113","Mabéré","MABERE","Plate 2","B05",138,"Maberé","Ouenkoro","Bankass","Mopti","sahélienne",13.41667,-3.81667
"114","Fonni","FONNI","Plate 2","B06",93.57,"Koporo-Pen","Koporo Na","Koro","Mopti","sahélienne",14.22106,-3.29841
"115","Dièni de Dialanikoro","DIENI_DE_DIALANIKORO","Plate 2","B07",91.09,"Dialanikoro","Kébila","Kolondiéba","sikasso","nord guinéenne",11.288,-7.097
"116","Foni-Sérébé","FONI_SEREBE","Plate 2","B08",84.38,"Maberé","Ouenkoro","Bankass","Mopti","sahélienne",13.41667,-3.81667
"117","Hon-on","HON_ON_4","Plate 2","B09",93.48,"Doundé","Segué","Bankass","Mopti","sahélienne",13.95427,-3.71553
"118","Kassangara de Kissa","KASSANGARA_DE_KISSA","Plate 2","B10",90.26,"Kissa","Kolondiéba","Kolondiéba","sikasso","nord guinéenne",10.9195,-6.8774
"119","Pongon","PONGON_5","Plate 2","B11",71.18,"Youdiou","Koro","Koro","Mopti","sahélienne",14.27316,-3.16651
"120","Pongon","PONGON_6","Plate 2","B12",58.94,"Douna","Djougany","Koro","Mopti","sahélienne",14.19224,-3.17783
"121","Fini ","FINI_11","Plate 2","C01",73.7,"Diabougou","Diéli","San","ségou","sahélienne",13.06753,-5.11095
"122","Fini Manè","FINI_MANE_1","Plate 2","C02",83.66,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"123","Pon","PON_1","Plate 2","C03",97.26,"Dangaténé","Koro  Central","Koro","Mopti","sahélienne",14.24024,-2.96187
"124","Pongon","PONGON_7","Plate 2","C04",2.05,NA,NA,NA,NA,NA,NA,NA
"125","Fini","FINI_12","Plate 2","C05",131,"Niana Sokorola","Yangaso","Bla","ségou","sahélienne",13.10848,-5.21637
"126","Fini","FINI_13","Plate 2","C06",133,"Niana Sokorola","Yangasso","Bla","ségou","sahélienne",13.10848,-5.21637
"127","Pon","PON_2","Plate 2","C07",69.22,"Dangaténé","Koro Central","Koro","Mopti","sahélienne",14.24024,-2.96187
"128","Fini","FINI_14","Plate 2","C08",65.46,"Niana Sokorola","Yangasso","Bla","ségou","sahélienne",13.10848,-5.21637
"129","Fini","FINI_15","Plate 2","C09",98.62,"Pedesso","Bla","Bla","ségou","sahélienne",12.92649,-5.59359
"130","Pongon","PONGON_8","Plate 2","C10",81.24,"Djimerou","Koporo Na","Koro","Mopti","sahélienne",14.1511,-3.30966
"131","Fini","FINI_16","Plate 2","C11",92.37,"Pedesso","Bla","Bla","ségou","sahélienne",12.92649,-5.59359
"132","Pémounou","PEMOUNOU","Plate 2","C12",68.96,"Bénéna","Mandiakuy","Tominian","ségou","sahélienne",13.11174,-4.36964
"133","Ebè Ohun","EBE_OHUN","Plate 2","D01",74.2,"Bénéna","Mandiakuy","Tominian","ségou","sahélienne",13.11174,-4.36964
"134","Nabéné","NABENE","Plate 2","D02",63.78,"Nabené","Madougou","Koro","Mopti","sahélienne",14.30253,-3.12627
"135","Pongon","PONGON_9","Plate 2","D03",80.06,"Temegolo","Koporo Na","Koro","Mopti","sahélienne",14.13743,-3.24592
"136","Fini","FINI_17","Plate 2","D04",129,"Pedesso","Bla","Bla","ségou","sahélienne",12.92649,-5.59359
"137","Finiba de Kébila","FINIBA_DE_KEBILA","Plate 2","D05",91.74,"Kébila","Kébila","Kolondiéba","sikasso","nord guinéenne",11.2925,-7.043
"138","Fini","FINI_18","Plate 2","D06",130,"Fana","Touna","Bla","ségou","sahélienne",13.04984,-5.79981
"139","Fénon de Mandela","FENON_DE_MANDELA","Plate 2","D07",45.52,"Mandela","Sikasso ","Sikasso","sikasso","nord guinéenne",11.157,-5.5321
"140","Hon-on","HON_ON_5","Plate 2","D08",34.74,"Diama","Diallassagou","Bankass","Mopti","sahélienne",13.88123,-3.62422
"141","Bélédi dialanikoro","BELEDI_DIALANIKORO","Plate 2","D09",77.1,"Dialanikoro","Kébila","Kolondiéba","sikasso","nord guinéenne",11.288,-7.097
"142","Teliman de kai","TELIMAN_DE_KAI","Plate 2","D10",79.48,"Kai","Loloni","Sikasso","sikasso","nord guinéenne",10.9691,-5.6914
"143","Pon","PON_3","Plate 2","D11",79.27,"Dangaténé","Koro Central","Koro","Mopti","sahélienne",14.24024,-2.96187
"144","Fini de Madiama","FINI_DE_MADIAMA","Plate 2","D12",73.46,"Madiama","Sofara","Djené","Mopti","sahélienne",13.79167,-4.4
"145","Pefonou","PEFONOU","Plate 2","E01",75,"Bénéna","Mandiakuy","Tominian","ségou","sahélienne",13.11174,-4.36964
"146","Fini","FINI_19","Plate 2","E02",86.45,"Fana","Touna","Bla","ségou","sahélienne",13.04984,-5.79981
"147","Pon","PON_4","Plate 2","E03",192,"Dominissagou","Madougou","Koro","Mopti","sahélienne",14.35444,-3.07812
"148","Finiba de Garalo","FINIBA_DE_GARALO","Plate 2","E04",60.05,"Garalo","Garalo","Bougouni","sikasso","nord guinéenne",10.9903,-7.4285
"149","Pongon de Dangaténé","PONGON_DE_DANGATENE","Plate 2","E05",73.79,"Temegolo","Koporo Na","Koro","Mopti","sahélienne",14.13743,-3.24592
"150","Fini","FINI_20","Plate 2","E06",76.89,"Fana","Touna","Bla","ségou","sahélienne",13.04984,-5.79981
"151","Pongon Tapiri","PONGON_TAPIRI_1","Plate 2","E07",98.07,"Endé Toro","Kanibonson","Bankass","Mopti","sahélienne",14.18592,-3.51157
"152","Hon-on","HON_ON_6","Plate 2","E08",120,"Diama","Diallassagou","Bankass","Mopti","sahélienne",13.88123,-3.62422
"153","Diéni de Koloni","DIENI_DE_KOLONI","Plate 2","E09",68.3,"Zantiébougou","Zantiébougou","Bougouni","sikasso","nord guinéenne",11.4018,-7.2485
"154","Fini","FINI_21","Plate 2","E10",71.61,"Nékèna","Touna","Bla","ségou","sahélienne",13.08154,-5.82064
"155","Diona de Sinziba","DIONA_DE_SINZIBA","Plate 2","E11",77.55,"Sinsimba","Kolondiéba","Kolondiéba","sikasso","nord guinéenne",11.3293,-7.1092
"156","Pé-omou","PE_OMOU","Plate 2","E12",70.54,"Bénéna","Mandiakuy","Tominian","ségou","sahélienne",13.11174,-4.36964
"157","Pon","PON_5","Plate 2","F01",86.88,"Douna","Djougany","Koro","Mopti","sahélienne",14.19224,-3.17783
"158","Hon-on","HON_ON_7","Plate 2","F02",84.64,"Diama","Diallasagou","Bankass","Mopti","sahélienne",13.88123,-3.62422
"159","Pongon","PONGON_10","Plate 2","F03",98.68,"Djimerou","Koporo Na","Koro","Mopti","sahélienne",14.1511,-3.30966
"160","Pongon","PONGON_11","Plate 2","F04",36.44,"Endé Toro","Kanibonson","Bankass","Mopti","sahélienne",14.18592,-3.51157
"161","Finiba de Simzinba","FINIBA_DE_SIMZINBA","Plate 2","F05",113,"Sinsimba","Kébila","Kolondiéba","sikasso","nord guinéenne",11.3293,-7.1092
"162","Fini","FINI_22","Plate 2","F06",101,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"163","Pongon-Tapiri","PONGON_TAPIRI","Plate 2","F07",75.22,"Endé Toro","Kanibonson","Bankass","Mopti","sahélienne",14.18592,-3.51157
"164","Pon","PON_6","Plate 2","F08",91.66,"Douna","Djougany","Koro","Mopti","sahélienne",14.19224,-3.17783
"165","Finni","FINNI_2","Plate 2","F09",119,"Mané","Timissa","","Sory Sorokouma","",NA,NA
"166","Fini","FINI_23","Plate 2","F10",77.43,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"167","Fini","FINI_24","Plate 2","F11",85.27,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"168","Pongon","PONGON_12","Plate 2","F12",75.73,"Temegolo","Koporo Na","Koro","Mopti","sahélienne",14.13743,-3.24592
"169","Pongon","PONGON_13","Plate 2","G01",79.79,"Madiama","Sofara","Djené","Mopti","sahélienne",13.79167,-4.4
"170","Fini","FINI_25","Plate 2","G02",92.53,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"171","Fogni-Sérébé","FOGNI_SEREBE","Plate 2","G03",81.9,"Maberé","Ouenkoro","Bankass","Mopti","sahélienne",13.41667,-3.81667
"172","Fini-Koussana","FINI_KOUSSANA","Plate 2","G04",93.88,"Koussana","Cinzana gare","Ségou","ségou","sahélienne",13.40181,-6.01125
"173","Fini diouna","FINI_DIOUNA_1","Plate 2","G05",72.3,"Diouna","Katiéna","Ségou","ségou","sahélienne",13.43456,-5.81591
"174","Fini wintiguibougou","FINI_WINTIGUIBOUGOU","Plate 2","G06",25.01,"Wintiguibougou","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.98333
"175","Fini solosso","FINI_SOLOSSO","Plate 2","G07",90.24,"Solosso","San","San","ségou","sahélienne",13.088895,-5.00094
"176","Fini Mané","FINI_MANE_2","Plate 2","G08",94.12,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"177","Fini Kamba","FINI_KAMBA_2","Plate 2","G09",90.03,"Kamba","Tamani","Barouéli","ségou","sahélienne",13.21667,-6.95
"178","Fini Diouna","FINI_DIOUNA_2","Plate 2","G10",87.28,"Diouna","Katiéna","Ségou","ségou","sahélienne",13.43456,-5.81591
"179","Fini Kolonka","FINI_KOLONKA","Plate 2","G11",81.9,"Kolonkan","Sokora","Bankass","Mopti","sahélienne",13.55676,-3.71155
"180","Pébirou Ségou Kiyo","PEBIROU_SEGOU_KIYO","Plate 2","G12",65.75,"Kiyo","Mandiakuy","Tominian","ségou","sahélienne",13.16253,-4.45826
"181","TamatioÏ sanekay","TAMATIOI_SANEKAY","Plate 2","H01",58.56,"Sanekuy","Mandiakuy","Tominian","ségou","sahélienne",13.06878,-4.61439
"182","Fini Diabougou","FINI_DIABOUGOU","Plate 2","H02",66.51,"Diabougou","Diéli","San","ségou","sahélienne",13.06753,-5.11095
"183","Pongon Tapiri","PONGON_TAPIRI_2","Plate 2","H03",60.48,"Endé Toro","Kanibonson","Bankass","Mopti","sahélienne",14.18592,-3.51157
"184","Foni-Sérébé Mabéré","FONI_SEREBE_MABERE","Plate 2","H04",63.97,"Maberé","Ouenkoro","Bankass","Mopti","sahélienne",13.41667,-3.81667
